기준년월,휴게소내판매순위,휴게소코드,휴게소명,매장코드,매장명,판매상품SEQ,판매상품명
2025-11,4,S000013,망향(부산)휴게소,0012,501_호두과자,1100035952,(알뜰간식)우리밀호두과자3500
2025-11,5,S000013,망향(부산)휴게소,0123,403_곤지암소머리국밥,1100040878,곤지암한우소머리국밥
2025-11,1,S000015,천안삼거리(서울)휴게소,0008,350_호두과자1,1100021753,명품호두과자(20개입)
2025-11,2,S000015,천안삼거리(서울)휴게소,0008,350_호두과자1,1100006289,명품호두과자 선물용(42개입)
2025-11,3,S000015,천안삼거리(서울)휴게소,0008,350_호두과자1,1100038187,(알뜰간식)호두과자(10개입)
2025-11,4,S000015,천안삼거리(서울)휴게소,0008,350_호두과자1,1100003879,호두파슈 선물용(42개입)
2025-11,5,S000015,천안삼거리(서울)휴게소,0154,돈까스전문점(외),1100001443,수제돈까스
2025-11,1,S000017,천안호두(부산)휴게소,0020,호두과자코너,1100035951,우리밀호두과자(16개입)
2025-11,2,S000017,천안호두(부산)휴게소,0020,호두과자코너,1100036597,우리밀호두과자(32개입)
2025-11,3,S000017,천안호두(부산)휴게소,0020,호두과자코너,1100035952,(알뜰간식)우리밀호두과자(8개입)
2025-11,4,S000017,천안호두(부산)휴게소,0096,경주우리밀십원빵,1100041224,십원빵(팥앙금호두치즈치즈커스타드크림)
2025-11,5,S000017,천안호두(부산)휴게소,0096,경주우리밀십원빵,1100046797,명품땅콩빵(28ea)
2025-11,1,S000021,옥산(부산)휴게소,0005,스낵(라면),1100037455,(실속)EX-라면
2025-11,2,S000021,옥산(부산)휴게소,0002,식당(일반),1100018530,(실속)소고기국밥
2025-11,3,S000021,옥산(부산)휴게소,0119,식당(코바코),1100036915,돈가스
2025-11,4,S000021,옥산(부산)휴게소,0002,식당(일반),1100014794,돼갈비비지찌개
2025-11,5,S000021,옥산(부산)휴게소,0004,스낵(우동),1100044122,(실속)우동
2025-11,1,S000024,죽암(서울)휴게소,0147,02_한식,1100023738,순두부찌개
2025-11,2,S000024,죽암(서울)휴게소,0088,970_라면,1100033403,수제돈가스
2025-11,3,S000024,죽암(서울)휴게소,0147,02_한식,1100024627,사태김치찌개 
2025-11,4,S000024,죽암(서울)휴게소,0111,라면코너(직영),1100031593,할인묶음_돈가스 떡라면세트
2025-11,5,S000024,죽암(서울)휴게소,0042,120_국밥(신규),1100033402,청원생명쌀돌솥비빔밥
2025-11,1,S000026,죽암(부산)휴게소,0033,죽암왕갈비탕,1100032033,보은대추왕갈비탕
2025-11,2,S000026,죽암(부산)휴게소,0001,산뜰愛(애),1100033425,등심돈까스
2025-11,3,S000026,죽암(부산)휴게소,0033,죽암왕갈비탕,1100009103,해물순두부찌개
2025-11,4,S000026,죽암(부산)휴게소,0182,호두과자,1100037524,호두과자(20개입)
2025-11,5,S000026,죽암(부산)휴게소,0179,호떡만두임실치즈,1100039507,01.호떡 2.5
2025-11,1,S000028,신탄진(서울)휴게소,0016,420_호도과자,1100035951,호두과자(20개입)	
2025-11,2,S000028,신탄진(서울)휴게소,0012,180_타향골따귀탕,1100045827,따귀탕_타향골
2025-11,3,S000028,신탄진(서울)휴게소,0016,420_호도과자,1100035955,(알뜰간식)호두과자(10개입)
2025-11,4,S000028,신탄진(서울)휴게소,0057,493-고급핫바,1100038881,성북당_십원빵
2025-11,5,S000028,신탄진(서울)휴게소,0093,(투썸플레이스)650_투썸플레이스,1100044870,[투썸]HOT아메리카노R
2025-11,1,S000032,옥천(서울)휴게소,0071,커피(할리스),1100044578,(할리스)HOT카페아메리카노(R)
2025-11,2,S000032,옥천(서울)휴게소,0067,식당(한식),1100032664,한방닭곰탕
2025-11,3,S000032,옥천(서울)휴게소,0067,식당(한식),1100044096,옥천부추 제육덮밥
2025-11,4,S000032,옥천(서울)휴게소,0047,외부매장(직영),1100006220,(알뜰간식)호두과자(10개입) 
2025-11,5,S000032,옥천(서울)휴게소,0067,식당(한식),1100038238,해물순두부찌개
2025-11,1,S000034,금강(부산)휴게소,0071,(신)본관상행우동,1100030568,떡라면
2025-11,2,S000034,금강(부산)휴게소,0073,(신)본관한식,1100039281,(유가네)육개장
2025-11,3,S000034,금강(부산)휴게소,0073,(신)본관한식,1100039990,소고기국밥
2025-11,4,S000034,금강(부산)휴게소,0071,(신)본관상행우동,1100036011,유부우동
2025-11,5,S000034,금강(부산)휴게소,0119,(신)이남장설렁탕,1100041772,이남장설렁탕_설렁탕
2025-11,1,S000036,황간(부산)휴게소,0005,식당(한식),1100025710,언양석쇠불고기덮밥
2025-11,2,S000036,황간(부산)휴게소,0059,커피(할리스),1100044578,(할리스)카페아메리카노(R)
2025-11,3,S000036,황간(부산)휴게소,0005,식당(한식),1100014794,돼갈비비지찌개
2025-11,4,S000036,황간(부산)휴게소,0073,맛남의식당,1100036680,(실속상품)영표국밥
2025-11,5,S000036,황간(부산)휴게소,0005,식당(한식),1100038238,해물순두부찌개
2025-11,1,S000038,황간(서울)휴게소,0050,커피(할리스),1100044578,(할리스)카페아메리카노(R )
2025-11,2,S000038,황간(서울)휴게소,0064,맛남의식당,1100036680,(실속상품)영표국밥
2025-11,3,S000038,황간(서울)휴게소,0004,식당(한식),1100014794,돼갈비비지찌개
2025-11,4,S000038,황간(서울)휴게소,0004,식당(한식),1100038238,해물순두부찌개
2025-11,5,S000038,황간(서울)휴게소,0071,식당(양식),1100038196,치즈돈가스
2025-11,1,S000040,추풍령(부산)휴게소,0085,국수라면우동(신),1100039322,얼큰칼제비
2025-11,2,S000040,추풍령(부산)휴게소,0083,한식(신),1100044265,흑돼지불고기정식
2025-11,3,S000040,추풍령(부산)휴게소,0105,식당(양식),1100031781,등심돈가스
2025-11,4,S000040,추풍령(부산)휴게소,0083,한식(신),1100031157,화덕고등어구이+솥밥
2025-11,5,S000040,추풍령(부산)휴게소,0060,할리스,1100044578,(할리스)HOT아메리카노(R)
2025-11,1,S000042,추풍령(서울)휴게소,0100,국수라면우동(신),1100039322,얼큰칼제비
2025-11,2,S000042,추풍령(서울)휴게소,0080,할리스,1100044578,(할리스)HOT아메리카노(R)
2025-11,3,S000042,추풍령(서울)휴게소,0121,식당(양식)신,1100031781,통등심돈가스
2025-11,4,S000042,추풍령(서울)휴게소,0099,한식(신),1100044267,흑돼지김치전골
2025-11,5,S000042,추풍령(서울)휴게소,0099,한식(신),1100044266,흑돼지불고기
2025-11,1,S000044,칠곡(부산)휴게소,0071,한미식당,1100041276,옛날왕돈가스
2025-11,2,S000044,칠곡(부산)휴게소,0001,자율식당,1100016064,육개장
2025-11,3,S000044,칠곡(부산)휴게소,0068,뉴)우동/김밥,1100045433,부산어묵우동7500
2025-11,4,S000044,칠곡(부산)휴게소,0001,자율식당,1100021849,(자율식당)공기밥
2025-11,5,S000044,칠곡(부산)휴게소,0082,젤리매장,1200075537,젤리(400g)
2025-11,1,S000046,칠곡(서울)휴게소,0012,자율식당,1100000464,따로국밥
2025-11,2,S000046,칠곡(서울)휴게소,0087,우동전문점,1100045425,농심속풀이생라면
2025-11,3,S000046,칠곡(서울)휴게소,0087,우동전문점,1100045433,부산어묵우동7500
2025-11,4,S000046,칠곡(서울)휴게소,0100,투썸플레이스,1100044864,(투썸)ICE아메리카노R
2025-11,5,S000046,칠곡(서울)휴게소,0012,자율식당,1100042722,(자율식당)단배추된장국
2025-11,1,S000050,평사(부산)휴게소,0074,투썸플레이스01,1100044867,(투썸)HOT아메리카노(R)
2025-11,2,S000050,평사(부산)휴게소,0005,우동전문점,1100045433,부산어묵우동7500
2025-11,3,S000050,평사(부산)휴게소,0035,코바코,1100045405,등심돈가스정식11900
2025-11,4,S000050,평사(부산)휴게소,0074,투썸플레이스01,1100044864,(투썸)ICE아메리카노(R)
2025-11,5,S000050,평사(부산)휴게소,0007,한식전문점,1100045440,해물_순두부찌개정식
2025-11,1,S000052,건천(서울)휴게소,0006,3번 양식(직영),1100033425,왕등심돈까스
2025-11,2,S000052,건천(서울)휴게소,0066,1번 한식(직영),1100019830,돼지고기김치찌개
2025-11,3,S000052,건천(서울)휴게소,0066,1번 한식(직영),1100033360,매콤순두부찌개
2025-11,4,S000052,건천(서울)휴게소,0066,1번 한식(직영),1100001775,능이소고기국밥
2025-11,5,S000052,건천(서울)휴게소,0106,경주당(창업일반),1100029070,경주찰보리 반반
2025-11,1,S000054,건천(부산)휴게소,0028,한식전문점,1100045440,해물_순두부찌개정식
2025-11,2,S000054,건천(부산)휴게소,0059,(투썸플레이스)1,1100044867,투썸_HOT아메리카노R
2025-11,3,S000054,건천(부산)휴게소,0059,(투썸플레이스)1,1100044864,투썸_ICE아메리카노R
2025-11,4,S000054,건천(부산)휴게소,0028,한식전문점,1100045436,버섯_제육덮밥정식
2025-11,5,S000054,건천(부산)휴게소,0030,우동전문점,1100045433,부산어묵우동
2025-11,1,S000057,언양(서울)휴게소,0073,맨날국수(맛집),1100043206,★명품먹거리_배말칼국수_
2025-11,2,S000057,언양(서울)휴게소,0068,파스쿠찌,1100044473,(파스쿠찌)HOT아메리카노(R)
2025-11,3,S000057,언양(서울)휴게소,0012,우동/김밥전문점,1100045433,부산어묵우동
2025-11,4,S000057,언양(서울)휴게소,0010,자율식당,1100042722,(자율식당)단배추된장국
2025-11,5,S000057,언양(서울)휴게소,0010,자율식당,1100000464,(자율식당)대구따로국밥
2025-11,1,S000062,양산(서울)휴게소,0034,할리스,1100044578,(할리스)HOT아메리카노(R)
2025-11,2,S000062,양산(서울)휴게소,0018,011_한양식당,1100033408,돌솥비빔밥
2025-11,3,S000062,양산(서울)휴게소,0034,할리스,1100044577,(할리스)ICE아메리카노(R)
2025-11,4,S000062,양산(서울)휴게소,0018,011_한양식당,1100043608,순두부찌개
2025-11,5,S000062,양산(서울)휴게소,0033,코바코,1100033425,등심돈가스
2025-11,1,S000064,진영(순천)휴게소,0006,005_이담채,1100040356,흑돼지김치찌개
2025-11,2,S000064,진영(순천)휴게소,0006,005_이담채,1100037053,전통사골육개장
2025-11,3,S000064,진영(순천)휴게소,0143,026_효원당(협력),1100035950,우리밀호두과자선물용(24개입)
2025-11,4,S000064,진영(순천)휴게소,0150,010_놀부부대찌개(협력),1100037848,놀부부대찌개
2025-11,5,S000064,진영(순천)휴게소,0006,005_이담채,1100030953,웰빙비빔밥
2025-11,1,S000071,문산(순천)휴게소,0071,신)고운동커피,1100025692,(고운동)HOT아메리카노(R)
2025-11,2,S000071,문산(순천)휴게소,0073,신)고운동커피2,1100025692,(고운동)HOT아메리카노(R)
2025-11,3,S000071,문산(순천)휴게소,0061,신)한식,1100033147,얼큰순두부찌개
2025-11,4,S000071,문산(순천)휴게소,0061,신)한식,1100001937,동태탕
2025-11,5,S000071,문산(순천)휴게소,0061,신)한식,1100036684,차돌된장찌개
2025-11,1,S000073,사천(부산)휴게소,0002,한식전문점,1100040872,제육덮밥_덮밥
2025-11,2,S000073,사천(부산)휴게소,0044,할리스커피,1100044578,(할리스)HOT아메리카노(R)
2025-11,3,S000073,사천(부산)휴게소,0043,양식.솥밥매장,1100040836,옛날등심돈가스
2025-11,4,S000073,사천(부산)휴게소,0009,수수부꾸미,1100041038,옛날호떡(2개)
2025-11,5,S000073,사천(부산)휴게소,0044,할리스커피,1100044577,(할리스)ICE아메리카노(R)
2025-11,1,S000074,사천(순천)휴게소,0048,할리스커피,1100044578,(할리스)HOT카페아메리카노(R)
2025-11,2,S000074,사천(순천)휴게소,0002,한식전문점,1100040872,옛날제육덮밥
2025-11,3,S000074,사천(순천)휴게소,0045,양식.솥밥매장,1100043608,해물순두부찌개
2025-11,4,S000074,사천(순천)휴게소,0045,양식.솥밥매장,1100040836,옛날등심돈가스
2025-11,5,S000074,사천(순천)휴게소,0002,한식전문점,1100017392,산채나물비빔밥
2025-11,1,S000077,섬진강(부산)휴게소,0052,(신)고운동커피,1100025692,(고운동)HOT아메리카노
2025-11,2,S000077,섬진강(부산)휴게소,0042,(신)한식/돈가스,1100001104,해물순두부찌개
2025-11,3,S000077,섬진강(부산)휴게소,0042,(신)한식/돈가스,1100031960,왕돈가스
2025-11,4,S000077,섬진강(부산)휴게소,0042,(신)한식/돈가스,1100000659,재첩국
2025-11,5,S000077,섬진강(부산)휴게소,0049,(신)호두과자/핫바,1100037524,호두과자(18개입)
2025-11,1,S000078,섬진강(순천)휴게소,0050,(신)고운동커피,1100025692,(고운동)HOT아메리카노
2025-11,2,S000078,섬진강(순천)휴게소,0039,(신)한식/돈가스,1100001104,순두부찌게
2025-11,3,S000078,섬진강(순천)휴게소,0055,(신)의류매장,1300000815,의류(100000)
2025-11,4,S000078,섬진강(순천)휴게소,0047,(신)호두과자/핫바,1100037524,호두과자(18개입)
2025-11,5,S000078,섬진강(순천)휴게소,0039,(신)한식/돈가스,1100001931,재첩국 
2025-11,1,S000083,거창(대구)휴게소,0025,할리스(상),1100044578,(할리스)HOT아메리카노(R)
2025-11,2,S000083,거창(대구)휴게소,0025,할리스(상),1100044577,(할리스)ICE아메리카노(R)
2025-11,3,S000083,거창(대구)휴게소,0003,020_한식우동코너(상),1100024020,꼬치어묵우동
2025-11,4,S000083,거창(대구)휴게소,0023,코바코,1100033294,왕돈가스
2025-11,5,S000083,거창(대구)휴게소,0003,020_한식우동코너(상),1100037588,돈육김치찌개
2025-11,1,S000084,거창(광주)휴게소,0023,할리스(하),1100044578,(할리스)HOT아메리카노(R)
2025-11,2,S000084,거창(광주)휴게소,0003,020_한식우동코너(하),1100024020,꼬치어묵우동
2025-11,3,S000084,거창(광주)휴게소,0023,할리스(하),1100044577,(할리스)ICE아메리카노(R)
2025-11,4,S000084,거창(광주)휴게소,0003,020_한식우동코너(하),1100037588,돈육김치찌개
2025-11,5,S000084,거창(광주)휴게소,0004,100_스낵코너(하),1100043186,수제호떡(3개)
2025-11,1,S000087,지리산(대구)휴게소,0058,흥부골남원추어탕,1100039898,흥부골남원추어탕
2025-11,2,S000087,지리산(대구)휴게소,0002,식당(일반),1100040365,흑돼지불고기+비빔밥
2025-11,3,S000087,지리산(대구)휴게소,0002,식당(일반),1100041499,흑돼지김치찌개(9500)
2025-11,4,S000087,지리산(대구)휴게소,0038,할리스,1100044578,(할리스)카페아메리카노(R)
2025-11,5,S000087,지리산(대구)휴게소,0007,스낵(라면),1100037455,(실속상품)ex-라면
2025-11,1,S000088,지리산(광주)휴게소,0062,흥부골남원추어탕,1100039898,흥부골남원추어탕
2025-11,2,S000088,지리산(광주)휴게소,0019,할리스,1100044578,(할리스)카페아메리카노(R)
2025-11,3,S000088,지리산(광주)휴게소,0023,스낵(라면),1100037455,(실속상품)ex-라면
2025-11,4,S000088,지리산(광주)휴게소,0002,식당(일반),1100041499,흑돼지김치찌개(9500)
2025-11,5,S000088,지리산(광주)휴게소,0003,스낵(우동),1100044122,(실속상품)우동
2025-11,1,S000092,화성(서울)휴게소,0004,외부매장(직영),1100038432,(직영)오징어
2025-11,2,S000092,화성(서울)휴게소,0006,외부매장(호두과자),1100006283,호두과자(20개입)
2025-11,3,S000092,화성(서울)휴게소,0006,외부매장(호두과자),1100006220,(알뜰간식)호두과자(10개입)
2025-11,4,S000092,화성(서울)휴게소,0020,식당(양식),1100035079,수제등심돈가스
2025-11,5,S000092,화성(서울)휴게소,0014,스낵(우동),1100044122,(실속상품)우동
2025-11,1,S000093,화성(목포)휴게소,0133,외부매장-건어물,1200065863,건어물10000
2025-11,2,S000093,화성(목포)휴게소,0119,직영매장(어묵핫바),1100038432,오징어구이
2025-11,3,S000093,화성(목포)휴게소,0107,의류매장(상설),1300000816,의류(전문매장) 벤호건(100000)
2025-11,4,S000093,화성(목포)휴게소,0048,의류매장,1300000815,의류(전문매장) JDX골프(100000)
2025-11,5,S000093,화성(목포)휴게소,0003,식당(한식),1100039046,돼지고기_김치찌개
2025-11,1,S000102,대천(서울)휴게소,0006,한식당,1100040662,돌솥비빔밥
2025-11,2,S000102,대천(서울)휴게소,0006,한식당,1100002760,해물라면정식 해물라면정식
2025-11,3,S000102,대천(서울)휴게소,0006,한식당,1100033939,짬뽕순두부(9000)
2025-11,4,S000102,대천(서울)휴게소,0010,핫바호떡,1100029858,호두과자(14개입)
2025-11,5,S000102,대천(서울)휴게소,0065,의류매장,1300000828,의류(전문매장) 클라이머홀릭(100000)
2025-11,1,S000103,대천(목포)휴게소,0003,한식당,1100040662,돌솥비빔밥
2025-11,2,S000103,대천(목포)휴게소,0003,한식당,1100002760,해물라면정식 해물라면정식
2025-11,3,S000103,대천(목포)휴게소,0055,의류매장(임시),1300000348,클라이머홀릭(10000)
2025-11,4,S000103,대천(목포)휴게소,0008,커피(드롭탑),1100045278,(드롭탑)H아메리카노(R)
2025-11,5,S000103,대천(목포)휴게소,0011,핫바단밤,1100002644,꼬치어묵
2025-11,1,S000106,군산(서울)휴게소,0110,(신)팬텀,1300008696,팬텀(의류) 1000원
2025-11,2,S000106,군산(서울)휴게소,0104,(신)한식,1100014614,돌솥비빔밥
2025-11,3,S000106,군산(서울)휴게소,0059,(신)호두과자,1100035954,호두과자(20개입)
2025-11,4,S000106,군산(서울)휴게소,0104,(신)한식,1100033343,순두부찌개
2025-11,5,S000106,군산(서울)휴게소,0069,(신)향미암(라면김밥),1100037451,추억의도시락라면
2025-11,1,S000108,군산(목포)휴게소,0051,(신)한식,1100033147,순두부찌개
2025-11,2,S000108,군산(목포)휴게소,0075,(신)대야식당,1100043086,(대야식당)소머리국밥
2025-11,3,S000108,군산(목포)휴게소,0051,(신)한식,1100018449,옥구우거지국밥
2025-11,4,S000108,군산(목포)휴게소,0059,(신)통감자,1100006297,호두과자(20개입)
2025-11,5,S000108,군산(목포)휴게소,0073,(신)탐앤탐스(외주),1100045803,탐탐_카페아메리카노
2025-11,1,S000115,함평천지(서울)휴게소,0022,001_그린웰,1100027180,소고기장터국밥
2025-11,2,S000115,함평천지(서울)휴게소,0022,001_그린웰,1100040284,함평한우비빔밥정식
2025-11,3,S000115,함평천지(서울)휴게소,0129,002_남산돈까스,1100045818,남산왕돈까스
2025-11,4,S000115,함평천지(서울)휴게소,0097,032_탐앤탐스,1100045803,탐탐_카페아메리카노
2025-11,5,S000115,함평천지(서울)휴게소,0022,001_그린웰,1100037254,옛날돼지고기김치찌개
2025-11,1,S000117,함평천지(목포)휴게소,0043,(신)한식,1100036175,바우네맑은나주곰탕
2025-11,2,S000117,함평천지(목포)휴게소,0055,(신)아띠몽,1100017573,아띠몽호두과자(10개입)
2025-11,3,S000117,함평천지(목포)휴게소,0051,(신)드롭탑,1100045278,(드롭탑)H아메리카노(R)_신
2025-11,4,S000117,함평천지(목포)휴게소,0043,(신)한식,1100016428,(실속상품)순두부찌개
2025-11,5,S000117,함평천지(목포)휴게소,0043,(신)한식,1100001005,돌솥비빔밥 
2025-11,1,S000122,정읍녹두장군(천안)휴게소,0118,신가네정읍국밥,1100039990,(신가네)정읍국밥
2025-11,2,S000122,정읍녹두장군(천안)휴게소,0127,투썸,1100041722,[투썸]T)아메리카노R
2025-11,3,S000122,정읍녹두장군(천안)휴게소,0118,신가네정읍국밥,1100039987,(신가네)돼지국밥
2025-11,4,S000122,정읍녹두장군(천안)휴게소,0004,한식,1100033537,순두부찌개
2025-11,5,S000122,정읍녹두장군(천안)휴게소,0127,투썸,1100041720,[투썸]T)ice아메리카노R
2025-11,1,S000123,정읍녹두장군(순천)휴게소,0076,[식당가]신가네정읍국밥,1100039990,(신가네)정읍국밥
2025-11,2,S000123,정읍녹두장군(순천)휴게소,0078,[가판]알뜰간식,1100035955,(알뜰간식)호두과자(10개입)
2025-11,3,S000123,정읍녹두장군(순천)휴게소,0002,[식당가]코바코,1100030442,통등심돈까스
2025-11,4,S000123,정읍녹두장군(순천)휴게소,0066,[커피]탐앤탐스,1100045803,(탐앤탐스)HOT아메리카노(T)
2025-11,5,S000123,정읍녹두장군(순천)휴게소,0008,[식당가]한식,1100033339,[한식]해물순두부찌개(표준)
2025-11,1,S000126,백양사(천안)휴게소,0033,한식코너,1100028090,삼채애호박찌개
2025-11,2,S000126,백양사(천안)휴게소,0033,한식코너,1100031699,대파육개장
2025-11,3,S000126,백양사(천안)휴게소,0052,드롭탑,1100045278,(드롭탑)HOT아메리카노(R)
2025-11,4,S000126,백양사(천안)휴게소,0033,한식코너,1100037753,우렁이된장찌개
2025-11,5,S000126,백양사(천안)휴게소,0030,양식코너,1100033425,옛날돈가스
2025-11,1,S000130,곡성(천안)휴게소,0056,10_로띠번,1100035894,(로띠번)오리지널
2025-11,2,S000130,곡성(천안)휴게소,0009,15_스낵코너,1100027398,호두과자(20개입)
2025-11,3,S000130,곡성(천안)휴게소,0051,18_임실치즈,1100024923,임실구워먹는치즈
2025-11,4,S000130,곡성(천안)휴게소,0012,13_커피2(엔제리너스),1100036983,(엔젤)HOT아메리카노(S)
2025-11,5,S000130,곡성(천안)휴게소,0002,01_한식당,1100000814,나물돌솥비빔밥
2025-11,1,S000131,곡성(순천)휴게소,0025,001_한식코너,1100044289,입맛없을땐짜글이
2025-11,2,S000131,곡성(순천)휴게소,0052,(파스쿠찌),1100044473,(파스쿠찌)HOT아메리카노(R)
2025-11,3,S000131,곡성(순천)휴게소,0039,열린매장(직영),1100041179,로띠번3800
2025-11,4,S000131,곡성(순천)휴게소,0036,열린매장2(직영),1100029943,맥반석오징어대
2025-11,5,S000131,곡성(순천)휴게소,0052,(파스쿠찌),1100044471,(파스쿠찌)ICE아메리카노(R)
2025-11,1,S000139,하남드림-케이알산업,0083,탐앤탐스,1100045803,(탐앤탐스)HOT카페아메리카노(T)
2025-11,2,S000139,하남드림-케이알산업,0179,한식당(K),1100028086,마방장터국밥
2025-11,3,S000139,하남드림-케이알산업,0180,라면(K),1100023658,SET2(라면+충무김밥)
2025-11,4,S000139,하남드림-케이알산업,0083,탐앤탐스,1100035965,(탐앤탐스)ICE아메리카노(T)
2025-11,5,S000139,하남드림-케이알산업,0083,탐앤탐스,1100045785,(탐앤탐스)ICE아메리카노(G)
2025-11,1,S000144,이천(남이)휴게소,0060,한식매장,1100045377,전주비빔밥
2025-11,2,S000144,이천(남이)휴게소,0060,한식매장,1100041109,오모가리돼지김치찌개
2025-11,3,S000144,이천(남이)휴게소,0060,한식매장,1100043608,(해물)순두부찌개정식
2025-11,4,S000144,이천(남이)휴게소,0089,달콤커피,1100040128,(달콤커피)ICE아메리카노(R)
2025-11,5,S000144,이천(남이)휴게소,0060,한식매장,1100036856,흑돼지고추장불고기
2025-11,1,S000145,음성(하남)휴게소,0044,(신)호두과자/오징어,1100006261,우리밀 호두과자(17개입)
2025-11,2,S000145,음성(하남)휴게소,0057,(신)양식전문점,1100042339,등심돈가스
2025-11,3,S000145,음성(하남)휴게소,0039,코바코&진미옥,1100037455,(실속상품)ex-라면
2025-11,4,S000145,음성(하남)휴게소,0094,파스쿠찌,1100044473,(파스쿠찌)HOT아메리카노(R)
2025-11,5,S000145,음성(하남)휴게소,0056,(신)한식전문점,1100000326,음성인삼 한우설렁탕
2025-11,1,S000146,음성(남이)휴게소,0051,(신)한식전문점,1100014296,우거지한우국밥
2025-11,2,S000146,음성(남이)휴게소,0052,(신)양식전문점,1100040832,돈가스제육덮밥(신)
2025-11,3,S000146,음성(남이)휴게소,0041,(신)호두과자/오징어,1100006261,우리밀 호두과자(17개입)
2025-11,4,S000146,음성(남이)휴게소,0037,탐앤탐스,1100045803,(탐앤탐스)HOT아메리카노(R)
2025-11,5,S000146,음성(남이)휴게소,0052,(신)양식전문점,1100008613,등심돈가스(조정)
2025-11,1,S000153,금산인삼랜드(대전)휴게소,0150,벤제프(골프의류),1300001074,벤제프 100000
2025-11,2,S000153,금산인삼랜드(대전)휴게소,0042,호도과자1,1100006295,(알뜰간식)호두과자(10개입)
2025-11,3,S000153,금산인삼랜드(대전)휴게소,0042,호도과자1,1100006292,호두과자(20개입)
2025-11,4,S000153,금산인삼랜드(대전)휴게소,0163,외주-야미레스토,1100001435,왕돈가스
2025-11,5,S000153,금산인삼랜드(대전)휴게소,0194,박순자아우내순대,1100000713,순대국밥
2025-11,1,S000154,금산인삼랜드(통영)휴게소,0041,510_호도과자,1100035951,우리밀호두과자(16알)
2025-11,2,S000154,금산인삼랜드(통영)휴게소,0055,570_꽈베기,1100036356,꽈배기세트[5400]
2025-11,3,S000154,금산인삼랜드(통영)휴게소,0041,510_호도과자,1100035952,(알뜰간식)우리밀호두과자(8알)
2025-11,4,S000154,금산인삼랜드(통영)휴게소,0055,570_꽈베기,1100010965,3600꽈배기
2025-11,5,S000154,금산인삼랜드(통영)휴게소,0006,100_한식당1,1100041109,흑돼지김치찌개[건인]
2025-11,1,S000165,산청(대전)휴게소,0002,한식당,1100040368,흑돼지소라찜
2025-11,2,S000165,산청(대전)휴게소,0026,탐앤탐스,1100045803,(탐탐)HOT아메리카노(S)
2025-11,3,S000165,산청(대전)휴게소,0002,한식당,1100022176,애호박돼지찌개
